City,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,PostalCode_1000-1999,PostalCode_2000-2999,PostalCode_3000-3999,PostalCode_4000-4999,PostalCode_5000-5999,PostalCode_6000-6999,PostalCode_7000-7999,PostalCode_8000-8999,PostalCode_9000-9999
Odense,5250,55.375816,10.365862,7950.0,950.0,81.0,4.0,1.0,Lejlighed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0
Frederikssund,3600,55.837733,12.065478,11200.0,900.0,80.0,3.0,2.0,Lejlighed,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0
København,2630,55.646859,12.27767,12420.0,995.0,92.0,3.0,4.0,Lejlighed,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0
Silkeborg,8600,56.161681,9.543793,6261.0,801.0,58.0,2.0,3.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
Hvalsø,4330,55.594543,11.865001,5564.0,600.0,45.0,2.0,0.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0
Aarhus,8200,56.171371,10.217784,4200.0,500.0,40.0,1.0,-1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0
Aarhus,8240,56.185341,10.230212,9000.0,650.0,65.0,2.0,2.0,Lejlighed,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
Randers,8930,56.467688,10.065634,9100.0,700.0,88.0,3.0,9.0,Lejlighed,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
København,2640,55.645472,12.212015,12100.0,1270.0,105.0,4.0,2.0,Lejlighed,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0
Aalborg,9400,57.058634,9.939259,6900.0,250.0,66.0,2.0,0.0,Lejlighed,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1
Nykøbing M,7900,56.792328,8.853398,12500.0,600.0,126.0,2.0,3.0,Lejlighed,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,1,0,0
København,2300,55.617819,12.567905,12900.0,850.0,85.0,3.0,1.0,Lejlighed,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0
Horsens,8700,55.868708,9.837878,4750.0,750.0,51.0,2.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0
Aarhus,8220,56.15637,10.14178,10195.0,800.0,113.0,4.0,1.0,Lejlighed,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
Aarhus,8000,56.147477,10.207507,11400.0,900.0,66.0,3.0,3.0,Lejlighed,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0
Aalborg,9000,57.047027,9.924122,9800.0,600.0,125.0,4.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1
Helsingør,3000,56.035474,12.611726,14600.0,2000.0,146.0,4.0,2.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
Kolding,6000,55.484532,9.490638,5290.0,600.0,51.0,2.0,0.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0
Aalborg,9000,57.036117,9.913894,9195.0,760.0,94.0,3.0,4.0,Lejlighed,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1
Aalborg,9200,57.013778,9.891364,8695.0,725.0,78.0,3.0,1.0,Lejlighed,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1
København,2300,55.619189,12.566969,17500.0,1100.0,105.0,4.0,4.0,Lejlighed,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0
Aarhus,8240,56.204202,10.231046,8300.0,650.0,66.0,3.0,3.0,Lejlighed,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
Odense,5000,55.396492,10.390203,11495.0,1159.0,107.0,4.0,4.0,Lejlighed,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0
Aarhus,8210,56.175601,10.150339,6995.0,0.0,49.0,2.0,0.0,Lejlighed,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
Viborg,8800,56.451103,9.407502,3750.0,1200.0,63.0,1.0,2.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0
Aarhus,8260,56.129857,10.180373,6995.0,500.0,60.0,2.0,1.0,Lejlighed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0
København,2605,55.656717,12.395842,11960.0,995.0,92.0,4.0,3.0,Lejlighed,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0
Greve,2670,55.5848,12.320129,15400.0,1400.0,114.0,5.0,3.0,Lejlighed,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0
Ringe,5750,55.238962,10.479225,8500.0,260.0,112.0,4.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0
Haderslev,6100,55.253885,9.486298,2595.0,700.0,15.0,1.0,2.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
