Type,Name,Longitude,Latitude
Schools,Niels Steensens Gymnasium,12.56655111739130434782608696,55.70794500869565217391304348
Schools,Danmarks Medie- og Journalisthøjskole,12.54178931764705882352941176,55.72311784117647058823529412
Schools,Skolen i Peter Vedels Gade,12.59327615833333333333333333,55.66583080833333333333333333
Schools,Sluseholmen Skole,12.55492987272727272727272727,55.65547401818181818181818182
Schools,Bavnehøj Skole,12.53578526315789473684210526,55.65737131578947368421052632
Schools,Lundehusskolen,12.54559049090909090909090909,55.71802543636363636363636364
Schools,N. Zahles Gymnasieskole,12.56947346125937554508983080,55.68246273105703819989534277
Schools,Rødovre Skole,12.46361295625,55.682258325
Schools,Dyvekeskolen,12.59651497222222222222222222,55.64800462222222222222222222
Schools,Busses Skole,12.52230546,55.74523128
Schools,Christianshavns Gymnasium,12.59563513863636363636363636,55.6732753401515151515151515
Schools,Frydenhøjskolen,12.4638782,55.6251727875
Schools,Guldberg Skole,12.55326904279914529914529914,55.69399210630341880341880342
Schools,Skolen ved Søerne,12.55351469028669234060761660,55.67829955878975895022108117
Restaurants,Nørrebro Bryghus Restaurant,12.5639074,55.6902172
Restaurants,Ingolfs Kaffebar,12.6119742,55.6501334
Restaurants,Rio Bravo,12.5730625,55.6742501
Restaurants,Sticks'n'Sushi,12.5547131,55.6697106
Restaurants,Viet Nam Nam,12.5376527,55.6856353
Restaurants,Kafe Kapers,12.5768017,55.7050842
Restaurants,Wagamama,12.5690757,55.6722759
Restaurants,Il Ponte,12.5718891,55.6765807
Restaurants,Wining & Dining,12.5754143,55.6797762
Restaurants,Ristorante Amalfi,12.5753490,55.6794330
Restaurants,Peder Oxe,12.5759776,55.6796537
Restaurants,Bøf & Ost,12.5759530,55.6795485
Restaurants,Cafe Victor,12.5832761,55.6807127
Restaurants,Madklubben Grill,12.5804521,55.6803781
Restaurants,La Vecchia Signora,12.5824969,55.6809107
Restaurants,L'Alsace,12.5828713,55.6807191
Restaurants,Mama Rosa,12.5805759,55.6790105
Restaurants,Jensen's Bøfhus Axeltorv,12.5644933,55.6763037
Restaurants,La Galette,12.5695321,55.6778757
Restaurants,L'education Nationale,12.5697430,55.6782280
Restaurants,Dubrovnik,12.5680739,55.6781715
Restaurants,Jensen's Bøfhus,12.5616617,55.6733149
Restaurants,Deep,12.5977260,55.6668710
Restaurants,Rimini,12.5971417,55.6681601
Restaurants,Krog's Fiskerestaurant,12.5785538,55.6777413
Restaurants,Ankara,12.5741096,55.6811269
Restaurants,Eros,12.5752015,55.6793725
Restaurants,Nova,12.5737580,55.6791314
Restaurants,Shahi,12.5727364,55.6787069
Restaurants,Hong Cheng,12.5754032,55.7089635
Restaurants,Safir Kebab,12.5441844,55.6904980
Restaurants,Els,12.5878215,55.6809684
Restaurants,Zeleste,12.5883161,55.6809061
Restaurants,Italiano,12.5738811,55.6792833
Restaurants,Wok On,12.5803408,55.6780529
Restaurants,Restaurant Jacobsen,12.5745415,55.6826871
Restaurants,Marv & Ben,12.5769463,55.6772838
Restaurants,Le Basilic,12.5562393,55.6719106
Restaurants,Apropos,12.5610473,55.6707876
Restaurants,Ban Gaw,12.5573535,55.6690839
Restaurants,Porn-Sak,12.5577022,55.6692654
Restaurants,Beijing,12.5703318,55.6770342
Restaurants,Flora's Steakhouse,12.5596734,55.6733045
Restaurants,La Fiesta Mexicana,12.5452292,55.6732568
Restaurants,Akropolis,12.5515978,55.6843632
Restaurants,Nyu Sakura,12.5514227,55.6841005
Restaurants,Radio,12.5543323,55.6819882
Restaurants,Nytorv,12.5736687,55.6772100
Restaurants,Zafran,12.5595118,55.6873787
Restaurants,Salt,12.5941964,55.6820201
Restaurants,Café Le perr Valby,12.5150828,55.6665230
Restaurants,Hotel Fy & Bi,12.5145524,55.6664428
Restaurants,Pintxos,12.5660522,55.6844442
Restaurants,Altopalato,12.5738669,55.7360678
