Monthly rent,Aconto,Square meters,Rooms,Floor,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,PostalCode_1000-2999,PostalCode_2000-3999,PostalCode_3000-4999,PostalCode_4000-5999,PostalCode_5000-6999,PostalCode_6000-7999,PostalCode_7000-8999,PostalCode_8000-9999,PostalCode_9000-10999,Distance to Transport Station (km),Distance to Beach (km),Distance to School (km),Distance to Restaurant (km),Distance to Hospital (km),Distance to Mall (km)
7996.0,1000.0,119.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.4855455557187946,22.25838425981936,0.3227131391093978,0.3634314277949362,0.7803813979020173,1.4061697251234562
3995.0,380.0,37.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0.1806842716688529,1.0547012389539585,0.3046749112764781,0.2054347824051198,0.1624726592817355,0.3248201977702628
2800.0,450.0,40.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.2655471282839824,45.12998638331113,0.2659368653779489,0.3614392367788521,0.3306576191359524,1.161056440194845
15200.0,1300.0,104.0,4.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0.5216280258508326,3.951874667352125,0.5709492574533621,0.1668278566138623,2.950826206886201,1.4306892827760245
3740.0,800.0,59.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0.4836655424955469,17.24730467403409,0.4544656227419376,0.9230871221672454,1.4976798950772376,64.20438743866332
3770.0,600.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.6119632242774105,22.652155175277223,0.1744542520492569,0.133837725529868,0.2893489768909231,1.9280039853362645
6700.0,450.0,48.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,2.239260753705392,9.001199523751394,0.744351064474074,0.1295413987842867,3.843305896837826,1.0211040213188134
21000.0,1000.0,125.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.5709612135169422,2.124661752584776,0.0324111297712451,0.1912611856799699,2.8538111202806906,0.8153904282500118
3950.0,550.0,49.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,1.237496774509092,42.156138505996125,0.6410391302991303,0.5138807063816269,1.6063031076165948,2.2677854500841126
3500.0,1150.0,67.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0.7938258106045524,21.28519372507945,0.493569328049275,0.6449467973486589,0.3424078719322277,32.30140623375932
5750.0,850.0,66.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.1211703442899111,1.3881086314305855,0.2542804560917215,0.286152135225562,1.188527431680332,32.77392710263075
12950.0,800.0,86.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,2.0122773228803483,8.111839096041452,0.736542989933618,0.3179600352917016,3.8164137179099806,0.3877026949517007
4675.0,500.0,66.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0.6923142150392352,22.61355874081432,0.1770949183694456,0.2608086686347101,0.6555818989656182,1.7718352125499672
7900.0,400.0,65.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0.8199633735379149,7.098068780221814,0.3817292090786596,0.546092835655982,2.481524858712973,1.6148857780915569
34000.0,1650.0,151.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0.8172170968016031,1.1456508989582703,0.2341194115733434,0.3492890203706979,1.2088451106827782,0.3387188508138305
10000.0,0.0,135.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,3.4509329155863764,4.25236174182557,0.5757350569661093,2.310255395723221,3.584304340144209,29.682888335203035
11900.0,1000.0,86.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0.3830268912906334,11.060344319856425,0.2136392082449292,0.4337196296461075,6.529149071097481,4.640055906099074
8800.0,600.0,64.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,2.177772544085252,8.560011003521302,0.4303413455852258,0.5318417438992936,3.969929125830415,1.153420189537281
8400.0,250.0,81.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,2.396290142825928,22.739995505200618,3.7366366107802618,1.0681416588321313,4.576926631708837,19.46631816254297
8500.0,900.0,141.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.7620821786390872,17.085902191968795,0.357943222750899,0.0358343176361654,0.6334083564609313,13.916416850049355
7600.0,800.0,73.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.1588092296322578,45.43861040805678,0.5566836425914367,0.2390331830625963,0.5308961409047046,0.8327599572679083
9850.0,1450.0,74.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.6814513409765285,8.26294203993469,0.1328482028435742,0.0488473108727811,4.479421501565255,0.9407630465329462
4995.0,350.0,30.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1.0662432236944948,11.54074298847326,0.2626860984066135,1.7317107358912474,1.1128161115025892,1.0016916598637085
3988.0,600.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.7472165739937173,22.295211136434222,0.3627570862061072,0.1869549447431588,0.5145007816362176,1.5221114501018442
14400.0,750.0,104.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,2.166479668538223,8.214054282610638,0.6425937165868753,0.2958644706268107,3.954013531561872,0.5584584200756001
5993.0,1132.0,82.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.8035092991604355,23.422507306690765,0.255279518215602,0.773986410199821,2.401002751276481,19.00324314191073
11000.0,1100.0,63.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,2.328876946816952,5.453218270983597,0.7981539746089366,0.9414621077454458,3.898318416364741,2.415528362924702
6000.0,1650.0,87.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,17.121532195598707,4.766138240629547,0.6601008328203348,2.14059059814256,18.689755427470885,20.104353756652444
5312.0,900.0,85.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0.5171660639580422,21.99590125233416,0.1289610450687042,0.5453598834772249,1.0095176121762464,1.123724193007761
