Type,Name,Latitude,Longitude
Schools,Privatskolen Nakskov,54.8326739,11.1363246
Schools,Center for industriel elektronik,54.9122576,9.7803637
Schools,Faxe Ungdomskole,55.3251508,11.9562999
Schools,Skolen på Strandboulevarden,55.7023037,12.5880004
Schools,HF & VUC NORD Vest,57.15102,9.749741
Schools,SOSU Silkeborg,56.168161,9.561127
Schools,FGU Nordsjælland,56.026602,12.19233
Schools,FGU Midt-Vest,55.959777,8.496766
Schools,FGU Midt-Vest S/I,56.153046,8.9849
Schools,Århus Produktionsskole,56.1892229,10.1821562
Schools,Borupgaardskolen,56.0138752,12.5846887
Schools,FGU Himmerland Støvring,56.877173,9.844307
Schools,FGU Aarhus,56.211768,10.267
Schools,Fgu-Vestegnen Ishøj,55.610726,12.31514
Schools,Unord,56.0438601,12.5763805
Schools,FGU Trekanten - Sandagervej 61,55.696951,9.472375
Schools,FGU Nordvest Jammerbugt,57.15302,9.744409
Schools,FGU Nordvest Mors,56.798674,8.846894
Schools,FGU Middelfart,55.488665,9.767993
Schools,FGU Himmerland,56.8045538,9.5322376
Schools,Viden Djurs,56.4071293,10.9033979
Schools,FGU Østjylland Grenå,56.425892,10.882372
Schools,FGU Nordvest Thisted,56.965212,8.7047824
Schools,FGU Aalborg,56.966987,10.223557
Schools,FGU Syd- og Midtfyn afd. Svendborg,55.057504,10.566092
Schools,FGU Hovedstaden - Valby,55.658389,12.504044
Schools,FGU Sydøstjylland,56.083408,10.03477
Schools,FGU Syd- og Midtfyn afd. Ringe,55.247204,10.48167
Schools,FGU Trekanten,55.7091145,9.5250867
Schools,Solskinsskolen - Skælskør Skole,55.2554326,11.3115797
Schools,FGU-Vest,55.4892329,8.4807074
Schools,Bogø Kostskole,54.9216423,12.0471793
Schools,Københavns Professionshøjskole,55.6640976,12.5372896
Schools,Kursuscenter Vestermølle,56.0286977,9.9583286
Schools,Emmaus Højskole,55.3222946,11.9608097
Schools,Institut for kommunikation og handicap,56.14165,10.189792
Schools,Klasseværelse i skoven,55.3176012,10.1848419
Schools,Foodhall VUC Næstved,55.229317,11.766158
Schools,FGU Kolding Vejen - Dalgas Alle 5,55.467912,9.142565
Schools,S/I FGU Himmerland,56.636923,9.810822
Schools,Odense Tekniske Gymnasium,55.3813963,10.4113459
Schools,JUC SERVICE,55.674949,12.564657
Schools,Nordsjællands Grundskole og Gymnasium & North Zealand International School,55.9024057,12.4757346
Schools,Oasehøjskolen,56.274297,9.3939784
Schools,Vejlebo Dance Studio,55.6378671,12.0790655
Schools,SOSU Munkeengen,55.930382,12.294058
Schools,Ellemarkskolens SFO og Klub,55.4539477,12.1632845
Schools,Pyramiden SFO,57.1512311,10.2854291
Schools,Skolerne I Oure Sport & Performing Arts,55.113304,10.721992
Schools,Den Grønne Friskole,55.6644583,12.6213089
Schools,Idrætsskolerne i Oure Vejstruplund Voksencafé,55.1132517,10.7220062
Schools,SOSU H og HF & VUC Nordsjælland,55.9237269,12.3001165
Schools,Himmerlands Erhvervs- og Gymnasieuddannelser,56.632815,9.828231
Schools,Kalundborg Ungdomsskole,55.690219,11.084173
Schools,Kasperskolen,55.716497,12.4000471
Schools,Langelinieskolen Holsteinsgade,55.6995722,12.5865382
Schools,HF & VUC Nordsjælland,55.930586,12.293166
Schools,TECHCOLLEGE,57.0734794,9.9529999
Schools,Horslunde Realskole,54.9116944,11.2176846
Schools,Fensmarkskolen,55.6958778,12.552122
Schools,Naturfriskolen Nordmors,56.9219212,8.8679771
Schools,Blåbjerg Skole,55.7776399,8.2954278
Schools,AMU SYD - Ribe,55.293579,8.86556
Schools,Jordbrugets UddannelsesCenter Dagligvarer,56.058645,10.200338
Schools,Det frie Gymnasium,55.6891376,12.5454588
Schools,Østerbro Lilleskole,55.7108408,12.5801014
Schools,Gredstedbro Skole Vadehav,55.4028398,8.7481856
Schools,Ordblindeinstituttet,55.7211959,12.4143463
Schools,S/I FGU Syd- og Midtfyn,55.0616078,10.5791686
Schools,Gourmetslagter,57.0380156,9.9831766
Schools,Terrible,55.6784806,12.5404065
Schools,HF & VUC Klar,55.4034912,11.348333
Schools,Fredericia Realskole,55.5639411,9.7588779
Schools,Fredericia Friskole,55.5654588,9.7672626
Schools,Praktikcenter Vest,56.373099,8.599662
Schools,Aarhus Business College,56.0970824,10.2188923
Schools,UCN,57.4585928,10.0033811
Schools,Filmhøjskolen Møn,54.9868242,12.2866843
Schools,Oure Kostgymnasium,55.113492,10.7214734
Schools,Maersk Training Denmark - Esbjerg,55.4892348,8.4785801
Schools,TEC Frederiksberg,55.6828992,12.5190374
Schools,Kompetencecentret (EUC),54.9392842,8.8564215
Schools,EUC Nordvest,56.963447,8.735508
Schools,EUC SYD Erhvervsuddannelsescenter Syd,54.9393375,8.8564617
Schools,Nyborg Gymnasium/kostafdeling,55.3223866,10.7952626
Schools,Dalgas Skolen,56.1647896,10.2099985
Schools,Kulturskolen Esbjerg,55.4686606,8.441841
